               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10055,            0.022674,            0.052035,          9.4291e-05,                0.02,          5.1003e-05,          1.1019e-05,            0.098386,            0.016469,            0.053461,            0.070107,           0.0033214,           0.0033214
                   1,            0.097066,            0.019119,            0.050279,          0.00037836,           0.0011111,          0.00019463,          7.6978e-05,            0.092692,            0.017588,            0.051307,            0.039975,            0.006523,            0.006523
                   2,            0.096792,            0.018992,            0.049509,                   0,                   0,                   0,                   0,            0.092397,            0.017314,            0.050828,           0.0097116,           0.0095926,           0.0095926
                   3,            0.094668,            0.018592,            0.048467,          0.00017588,               0.045,           0.0001199,          2.6899e-05,             0.09242,            0.019901,            0.053403,            0.009406,            0.009406,            0.009406
                   4,            0.091162,            0.018147,            0.047821,           0.0004788,             0.11667,          0.00034608,          8.8648e-05,            0.091906,            0.018469,            0.052695,            0.009406,            0.009406,            0.009406
                   5,            0.089632,            0.018238,            0.047288,          0.00082749,             0.15778,          0.00073265,          0.00021273,             0.09069,            0.017093,            0.052874,            0.009208,            0.009208,            0.009208
                   6,            0.087917,            0.017941,            0.046604,           0.0010645,             0.25278,           0.0021324,          0.00058083,            0.088541,             0.01716,             0.05026,             0.00901,             0.00901,             0.00901
                   7,            0.087553,            0.017557,            0.046344,           0.0010699,             0.27722,           0.0015281,          0.00045079,            0.089337,            0.017811,             0.05139,            0.008812,            0.008812,            0.008812
                   8,            0.086585,            0.017543,            0.045637,           0.0015309,             0.26889,           0.0035671,            0.001217,            0.090109,            0.016526,            0.051437,            0.008614,            0.008614,            0.008614
                   9,            0.086042,            0.017278,            0.045303,           0.0090996,            0.047778,           0.0051719,           0.0014825,            0.087326,            0.016806,            0.050296,            0.008416,            0.008416,            0.008416
                  10,            0.085204,            0.017326,            0.044815,             0.34918,               0.005,           0.0033555,          0.00094068,            0.088901,            0.016904,            0.050502,            0.008218,            0.008218,            0.008218
                  11,               0.084,            0.017312,            0.044391,             0.35021,            0.014444,           0.0054525,           0.0016456,            0.085776,            0.016482,            0.050567,             0.00802,             0.00802,             0.00802
                  12,            0.083795,            0.017044,            0.043922,             0.34839,           0.0088889,           0.0054868,           0.0018586,            0.087744,            0.016447,            0.051903,            0.007822,            0.007822,            0.007822
                  13,            0.083112,            0.017044,            0.043141,             0.34744,            0.016667,           0.0059433,           0.0017933,            0.089504,            0.016889,             0.05063,            0.007624,            0.007624,            0.007624
                  14,            0.082761,            0.016886,            0.042621,             0.50619,            0.011111,           0.0043701,           0.0011875,            0.087817,            0.016633,            0.050963,            0.007426,            0.007426,            0.007426
                  15,            0.082461,            0.016766,            0.042075,             0.18299,           0.0088889,           0.0054536,            0.001489,             0.08578,            0.016273,            0.050716,            0.007228,            0.007228,            0.007228
                  16,            0.082743,            0.016524,            0.041284,              0.3479,            0.017222,           0.0038407,          0.00098884,            0.088341,            0.016596,            0.050968,             0.00703,             0.00703,             0.00703
                  17,            0.081847,            0.016907,            0.040532,           0.0096743,            0.079444,           0.0036591,           0.0009786,            0.086157,            0.016346,            0.051769,            0.006832,            0.006832,            0.006832
                  18,            0.081434,            0.016506,            0.039751,             0.19367,            0.019444,           0.0073218,           0.0024203,            0.085869,            0.015913,            0.053184,            0.006634,            0.006634,            0.006634
                  19,            0.081167,            0.016773,            0.039445,            0.024603,            0.028333,           0.0070289,           0.0019039,            0.086516,             0.01633,            0.051637,            0.006436,            0.006436,            0.006436
                  20,            0.079896,            0.016579,            0.038917,            0.046746,            0.020556,           0.0071729,           0.0019363,            0.084791,            0.016223,            0.052337,            0.006238,            0.006238,            0.006238
                  21,            0.080421,            0.016736,            0.038298,            0.032288,            0.035556,            0.010297,           0.0033128,            0.084591,            0.016149,            0.051185,             0.00604,             0.00604,             0.00604
                  22,            0.079478,            0.016737,             0.03736,            0.019681,            0.047778,            0.012787,           0.0039168,            0.085349,            0.015988,            0.053355,            0.005842,            0.005842,            0.005842
                  23,            0.079444,            0.016659,            0.037203,            0.024533,            0.017778,           0.0082634,           0.0025571,            0.084978,            0.015844,             0.05256,            0.005644,            0.005644,            0.005644
                  24,            0.078524,            0.016578,            0.036501,             0.21886,            0.028889,           0.0077907,           0.0024317,            0.085762,            0.016151,             0.05231,            0.005446,            0.005446,            0.005446
                  25,            0.078377,            0.016789,            0.036048,             0.19051,            0.033783,           0.0092333,           0.0029038,            0.085651,            0.016106,            0.056372,            0.005248,            0.005248,            0.005248
                  26,            0.077731,            0.016796,             0.03502,            0.032377,                0.04,           0.0086922,           0.0026205,            0.084289,            0.016096,            0.054065,             0.00505,             0.00505,             0.00505
                  27,            0.077517,            0.016559,            0.035097,            0.048489,                0.04,            0.009811,           0.0025023,            0.084617,            0.016104,            0.053916,            0.004852,            0.004852,            0.004852
                  28,             0.07731,            0.016511,             0.03463,            0.044716,            0.042222,            0.013142,           0.0037066,             0.08447,            0.015903,            0.053831,            0.004654,            0.004654,            0.004654
                  29,            0.077216,            0.016347,            0.034055,            0.032348,            0.041667,           0.0099126,           0.0029268,            0.085093,            0.016039,            0.056343,            0.004456,            0.004456,            0.004456
                  30,            0.076072,            0.016454,            0.033074,            0.035098,            0.033333,            0.012393,           0.0037531,            0.085402,            0.016489,             0.05593,            0.004258,            0.004258,            0.004258
                  31,            0.076247,            0.016398,            0.032818,            0.022563,            0.035254,           0.0092286,           0.0028836,            0.084393,            0.015937,            0.055774,             0.00406,             0.00406,             0.00406
                  32,             0.07617,            0.016457,            0.032584,            0.035234,            0.032778,            0.011251,           0.0037213,            0.084349,            0.015642,            0.057885,            0.003862,            0.003862,            0.003862
                  33,            0.075531,            0.016107,             0.03188,            0.035318,            0.044444,             0.01272,           0.0040928,            0.084557,            0.016068,            0.056024,            0.003664,            0.003664,            0.003664
                  34,            0.075638,            0.016296,            0.031416,            0.021244,            0.041111,            0.011993,           0.0033278,            0.084568,            0.016087,            0.058261,            0.003466,            0.003466,            0.003466
                  35,            0.074853,            0.016273,            0.030408,            0.024314,               0.045,            0.012023,           0.0039663,            0.084344,             0.01582,            0.059227,            0.003268,            0.003268,            0.003268
                  36,            0.074656,            0.015985,            0.029533,            0.035828,            0.039444,           0.0097781,           0.0032331,            0.084988,            0.015649,            0.059201,             0.00307,             0.00307,             0.00307
                  37,            0.073924,            0.016153,            0.029064,            0.038457,            0.037222,            0.012597,            0.003673,            0.084803,            0.016159,            0.057555,            0.002872,            0.002872,            0.002872
                  38,            0.073341,            0.016128,            0.027837,            0.036986,            0.037222,            0.013685,           0.0042884,            0.085009,            0.015833,            0.059031,            0.002674,            0.002674,            0.002674
                  39,            0.072866,            0.016084,            0.027796,             0.03611,                0.04,            0.011817,           0.0033564,            0.085334,             0.01584,             0.05943,            0.002476,            0.002476,            0.002476
                  40,            0.072545,            0.016243,            0.027002,            0.032813,            0.051111,              0.0152,           0.0044779,            0.084811,            0.015878,            0.059645,            0.002278,            0.002278,            0.002278
                  41,            0.071759,            0.016006,            0.025879,            0.032177,            0.041111,            0.012128,           0.0033703,            0.084897,            0.015748,            0.060317,             0.00208,             0.00208,             0.00208
                  42,            0.071628,            0.016027,            0.024841,            0.028311,            0.038889,            0.011518,            0.003298,            0.085041,            0.015833,            0.062369,            0.001882,            0.001882,            0.001882
                  43,            0.070888,            0.016044,            0.023742,            0.025665,            0.041667,            0.013044,           0.0039688,            0.085154,            0.015878,            0.062009,            0.001684,            0.001684,            0.001684
                  44,            0.070252,            0.016314,            0.023259,            0.027938,            0.044444,            0.011814,           0.0039481,            0.085645,            0.015963,            0.061296,            0.001486,            0.001486,            0.001486
                  45,            0.069779,            0.015962,            0.022632,            0.026179,            0.039444,            0.011987,           0.0038187,            0.085234,            0.015856,            0.063645,            0.001288,            0.001288,            0.001288
                  46,            0.068457,            0.015897,            0.020937,            0.029617,            0.048333,            0.015002,           0.0044563,            0.085977,            0.015857,            0.064047,             0.00109,             0.00109,             0.00109
                  47,            0.068596,            0.015992,            0.020228,             0.02875,            0.043333,            0.014677,           0.0047025,            0.085615,            0.015951,            0.066717,            0.000892,            0.000892,            0.000892
                  48,            0.068031,            0.015876,            0.019706,            0.032604,            0.052222,            0.013624,           0.0038239,            0.085618,            0.015965,            0.065674,            0.000694,            0.000694,            0.000694
                  49,            0.067462,            0.015849,            0.019225,            0.030678,            0.046667,            0.013934,           0.0042148,            0.085724,            0.015972,            0.066111,            0.000496,            0.000496,            0.000496
